"","rowname","iter","sim","approach","value"
"444","rmse",74,"I","fit_NT_stats",0.00458255274315931
"445","R2",75,"I","fit_all_stats",0.998599320204616
"446","R2",75,"I","fitsumStats",0.998672044158114
"447","R2",75,"I","fit_NT_stats",0.999148812277329
"448","rmse",75,"I","fit_all_stats",0.0890952012595271
"449","rmse",75,"I","fitsumStats",0.0168947814849157
"450","rmse",75,"I","fit_NT_stats",0.0135261262757471
"451","R2",76,"I","fit_all_stats",0.998633061240492
"452","R2",76,"I","fitsumStats",0.998746278970794
"453","R2",76,"I","fit_NT_stats",0.999148771358786
"454","rmse",76,"I","fit_all_stats",0.0876279154975508
"455","rmse",76,"I","fitsumStats",0.0163698429220088
"456","rmse",76,"I","fit_NT_stats",0.0134886091558808
"457","R2",77,"I","fit_all_stats",0.999283708683215
"458","R2",77,"I","fitsumStats",0.998967484840205
"459","R2",77,"I","fit_NT_stats",0.998639671817788
"460","rmse",77,"I","fit_all_stats",0.0452656521619733
"461","rmse",77,"I","fitsumStats",0.0100808948095102
"462","rmse",77,"I","fit_NT_stats",0.0115710484589856
"463","R2",78,"I","fit_all_stats",0.998676476396558
"464","R2",78,"I","fitsumStats",0.999080060516454
"465","R2",78,"I","fit_NT_stats",0.997871034532851
"466","rmse",78,"I","fit_all_stats",0.081423814794206
"467","rmse",78,"I","fitsumStats",0.0117981466848777
"468","rmse",78,"I","fit_NT_stats",0.0179480995780584
"469","R2",79,"I","fit_all_stats",0.99869851196792
"470","R2",79,"I","fitsumStats",0.999471267570589
"471","R2",79,"I","fit_NT_stats",0.999145718389599
"472","rmse",79,"I","fit_all_stats",0.0776439786804339
"473","rmse",79,"I","fitsumStats",0.00794992479502313
"474","rmse",79,"I","fit_NT_stats",0.0101052153937061
"475","R2",80,"I","fit_all_stats",0.999478001407431
"476","R2",80,"I","fitsumStats",0.999143985732738
"477","R2",80,"I","fit_NT_stats",0.998944932595303
"478","rmse",80,"I","fit_all_stats",0.0364252390347383
"479","rmse",80,"I","fitsumStats",0.00889885419650284
"480","rmse",80,"I","fit_NT_stats",0.00987947104222449
"481","R2",81,"I","fit_all_stats",0.998612135084834
"482","R2",81,"I","fitsumStats",0.998664946738957
"483","R2",81,"I","fit_NT_stats",0.998245179702858
"484","rmse",81,"I","fit_all_stats",0.0843279096340738
"485","rmse",81,"I","fitsumStats",0.0149227597530136
"486","rmse",81,"I","fit_NT_stats",0.017108667093357
"487","R2",82,"I","fit_all_stats",0.999994501644669
"488","R2",82,"I","fitsumStats",0.99994862831752
"489","R2",82,"I","fit_NT_stats",0.999877801017796
"490","rmse",82,"I","fit_all_stats",0.00303390300605269
"491","rmse",82,"I","fitsumStats",0.000243307682794056
"492","rmse",82,"I","fit_NT_stats",0.000375256066732241
"493","R2",83,"I","fit_all_stats",0.999319598202427
"494","R2",83,"I","fitsumStats",0.998894177275323
"495","R2",83,"I","fit_NT_stats",0.998871451244587
"496","rmse",83,"I","fit_all_stats",0.0437589391276332
